Composite_Key,Matchday,Date,Comp,Season,Round,Opponent,Venue,Result,GF,GA,GD,xG,xGA,xGD,xGD - GD,Vela_Minutes_Played,Did_Vela_Play,GF - xGF,GA - xGA
1-2018,1,3/4/18,MLS,2018,Regular Season,Seattle Sounders,Away,W,1,0,1,0.3,1.9,-1.6,-2.6,90,1,0.7,-1.9
2-2018,2,3/10/18,MLS,2018,Regular Season,Real Salt Lake,Away,W,5,1,4,5.1,2.2,2.9,-1.1,90,1,-0.1,-1.2
3-2018,3,3/31/18,MLS,2018,Regular Season,LA Galaxy,Away,L,3,4,-1,1.1,1.5,-0.4,0.6,90,1,1.9,2.5
4-2018,4,4/7/18,MLS,2018,Regular Season,Atlanta Utd,Away,L,0,5,-5,0.8,3.3,-2.5,2.5,90,1,-0.8,1.7
5-2018,5,4/13/18,MLS,2018,Regular Season,Vancouver W'caps,Away,W,2,0,2,1.7,0.3,1.4,-0.6,90,1,0.3,-0.3
6-2018,6,4/21/18,MLS,2018,Regular Season,Montreal Impact,Away,W,5,3,2,4.2,1.8,2.4,0.4,90,1,0.8,1.2
7-2018,7,4/29/18,MLS,2018,Regular Season,Seattle Sounders,Home,W,1,0,1,2.2,1.5,0.7,-0.3,90,1,-1.2,-1.5
8-2018,8,5/5/18,MLS,2018,Regular Season,FC Dallas,Home,D,1,1,0,2,0.9,1.1,1.1,90,1,-1,0.1
9-2018,9,5/9/18,MLS,2018,Regular Season,Minnesota Utd,Home,W,2,0,2,2.4,0.6,1.8,-0.2,90,1,-0.4,-0.6
10-2018,10,5/13/18,MLS,2018,Regular Season,NYCFC,Home,D,2,2,0,1.4,2.2,-0.8,-0.8,90,1,0.6,-0.2
11-2018,11,5/19/18,MLS,2018,Regular Season,Portland Timbers,Away,L,1,2,-1,1.4,2.5,-1.1,-0.1,90,1,-0.4,-0.5
12-2018,12,5/26/18,MLS,2018,Regular Season,D.C. United,Home,D,1,1,0,2,1.5,0.5,0.5,90,1,-1,-0.5
13-2018,13,6/2/18,MLS,2018,Regular Season,FC Dallas,Away,L,1,2,-1,0.9,2.5,-1.6,-0.6,0,0,0.1,-0.5
14-2018,14,6/9/18,MLS,2018,Regular Season,SJ Earthquakes,Away,W,4,3,1,2.3,1.1,1.2,0.2,0,0,1.7,1.9
15-2018,15,6/23/18,MLS,2018,Regular Season,Columbus Crew,Home,W,2,0,2,1.8,0.5,1.3,-0.7,0,0,0.2,-0.5
16-2018,16,6/30/18,MLS,2018,Regular Season,Philadelphia Union,Home,W,4,1,3,2.6,1.5,1.1,-1.9,0,0,1.4,-0.5
17-2018,17,7/3/18,MLS,2018,Regular Season,Houston Dynamo,Away,D,2,2,0,1.1,1.3,-0.2,-0.2,0,0,0.9,0.7
18-2018,18,7/7/18,MLS,2018,Regular Season,Orlando City,Home,W,4,1,3,3.4,1.6,1.8,-1.2,26,1,0.6,-0.6
19-2018,19,7/15/18,MLS,2018,Regular Season,Portland Timbers,Home,D,0,0,0,1.2,0.8,0.4,0.4,90,1,-1.2,-0.8
20-2018,20,7/22/18,MLS,2018,Regular Season,Minnesota Utd,Away,L,1,5,-4,0.6,3.9,-3.3,0.7,0,0,0.4,1.1
21-2018,21,7/26/18,MLS,2018,Regular Season,LA Galaxy,Home,D,2,2,0,1.5,2,-0.5,-0.5,90,1,0.5,0
22-2018,22,8/5/18,MLS,2018,Regular Season,NY Red Bulls,Away,L,1,2,-1,1.7,2.3,-0.6,0.4,90,1,-0.7,-0.3
23-2018,23,8/11/18,MLS,2018,Regular Season,Sporting KC,Home,L,0,2,-2,1.8,1.8,0,2,32,1,-1.8,0.2
24-2018,24,8/15/18,MLS,2018,Regular Season,Real Salt Lake,Home,W,2,0,2,1.8,0.3,1.5,-0.5,90,1,0.2,-0.3
25-2018,25,8/19/18,MLS,2018,Regular Season,Colorado Rapids,Home,W,2,0,2,1,0.9,0.1,-1.9,79,1,1,-0.9
26-2018,26,8/24/18,MLS,2018,Regular Season,LA Galaxy,Away,D,1,1,0,1.5,1.3,0.2,0.2,90,1,-0.5,-0.3
27-2018,27,9/1/18,MLS,2018,Regular Season,Toronto FC,Away,W,4,2,2,1.6,3.2,-1.6,-3.6,90,1,2.4,-1.2
28-2018,28,9/15/18,MLS,2018,Regular Season,NE Revolution,Home,D,1,1,0,1.6,1.7,-0.1,-0.1,90,1,-0.6,-0.7
29-2018,29,9/22/18,MLS,2018,Regular Season,SJ Earthquakes,Home,W,2,0,2,2.1,0.2,1.9,-0.1,81,1,-0.1,-0.2
30-2018,30,9/29/18,MLS,2018,Regular Season,Chicago Fire,Away,L,1,3,-2,1.5,1.1,0.4,2.4,90,1,-0.5,1.9
31-2018,31,10/6/18,MLS,2018,Regular Season,Colorado Rapids,Away,W,3,0,3,2.9,0.8,2.1,-0.9,90,1,0.1,-0.8
32-2018,32,10/12/18,MLS,2018,Regular Season,Houston Dynamo,Home,W,4,2,2,2.8,1.2,1.6,-0.4,90,1,1.2,0.8
33-2018,33,10/21/18,MLS,2018,Regular Season,Vancouver W'caps,Home,D,2,2,0,2.1,1.6,0.5,0.5,90,1,-0.1,0.4
34-2018,34,10/28/18,MLS,2018,Regular Season,Sporting KC,Away,L,1,2,-1,1.5,0.8,0.7,1.7,90,1,-0.5,1.2
35-2018,35,11/1/18,MLS,2018,Knockout round,Real Salt Lake,Home,L,2,3,-1,2.1,0.5,1.6,2.6,90,1,-0.1,2.5
1-2019,1,3/3/19,MLS,2019,Regular Season,Sporting KC,Home,W,2,1,1,0.9,0.7,0.2,-0.8,90,1,1.1,0.3
2-2019,2,3/10/19,MLS,2019,Regular Season,Portland Timbers,Home,W,4,1,3,3.4,1.2,2.2,-0.8,90,1,0.6,-0.2
3-2019,3,3/17/19,MLS,2019,Regular Season,NYCFC,Away,D,2,2,0,2.4,1.4,1,1,90,1,-0.4,0.6
4-2019,4,3/23/19,MLS,2019,Regular Season,Real Salt Lake,Home,W,2,1,1,1,0.9,0.1,-0.9,90,1,1,0.1
5-2019,5,3/30/19,MLS,2019,Regular Season,SJ Earthquakes,Away,W,5,0,5,3.6,0.3,3.3,-1.7,90,1,1.4,-0.3
6-2019,6,4/6/19,MLS,2019,Regular Season,D.C. United,Away,W,4,0,4,2.2,0.9,1.3,-2.7,79,1,1.8,-0.9
7-2019,7,4/13/19,MLS,2019,Regular Season,FC Cincinnati,Home,W,2,0,2,2,1.5,0.5,-1.5,90,1,0,-1.5
8-2019,8,4/17/19,MLS,2019,Regular Season,Vancouver W'caps,Away,L,0,1,-1,0.9,0.9,0,1,90,1,-0.9,0.1
9-2019,9,4/21/19,MLS,2019,Regular Season,Seattle Sounders,Home,W,4,1,3,3.2,0.5,2.7,-0.3,90,1,0.8,0.5
10-2019,10,4/28/19,MLS,2019,Regular Season,Seattle Sounders,Away,D,1,1,0,3.6,0.5,3.1,3.1,90,1,-2.6,0.5
11-2019,11,5/4/19,MLS,2019,Regular Season,Chicago Fire,Home,D,0,0,0,2.5,1,1.5,1.5,90,1,-2.5,-1
12-2019,12,5/11/19,MLS,2019,Regular Season,Columbus Crew,Away,W,3,0,3,2.2,0.8,1.4,-1.6,90,1,0.8,-0.8
